Date,Close,Nifty50
08-31-2016,138.8553,8774.65
08-30-2016,139.1277,8786.2
08-29-2016,137.5634,8744.35
08-26-2016,136.3373,8607.45
08-25-2016,135.8906,8572.55
08-24-2016,136.0978,8592.2
08-23-2016,136.1605,8650.3
08-22-2016,136.1701,8632.6
08-19-2016,136.6135,8629.15
08-18-2016,136.6689,8666.9
08-17-2016,135.8357,8673.25
08-16-2016,135.1407,8624.05
08-12-2016,135.4446,8642.55
08-11-2016,136.0873,8672.15
08-10-2016,136.4086,8592.15
08-09-2016,137.7026,8575.3
08-08-2016,137.5574,8678.25
08-05-2016,136.0552,8711.35
08-04-2016,133.5907,8683.15
08-03-2016,133.4464,8551.1
08-02-2016,134.0077,8544.85
08-01-2016,134.4266,8622.9
07-29-2016,134.4843,8636.55
07-28-2016,134.8304,8638.5
07-27-2016,135.1812,8666.3
07-26-2016,133.8168,8615.8
07-25-2016,134.381,8590.65
07-22-2016,133.3714,8635.65
07-21-2016,132.6837,8541.2
07-20-2016,133.1132,8510.1
07-19-2016,132.5486,8565.85
07-18-2016,132.8508,8528.55
07-15-2016,133.1945,8508.7
07-14-2016,134.35,8541.4
07-13-2016,134.0958,8565
07-12-2016,134.8102,8519.5
07-11-2016,134.8524,8521.05
07-08-2016,133.9329,8467.9
07-07-2016,134.0992,8323.2
07-05-2016,134.3827,8337.9
07-04-2016,134.3269,8335.95
07-01-2016,133.4108,8370.7
06-30-2016,132.7575,8328.35
06-29-2016,131.221,8287.75
06-28-2016,129.7602,8204
06-27-2016,129.6798,8127.85
06-24-2016,128.6965,8094.7
06-23-2016,130.0341,8088.6
06-22-2016,129.9617,8270.45
06-21-2016,130.0061,8203.7
06-20-2016,129.8138,8219.9
06-17-2016,129.8695,8238.5
06-16-2016,129.4717,8170.2
06-15-2016,130.11,8140.75
06-14-2016,129.1358,8206.6
06-13-2016,128.8126,8108.85
06-10-2016,130.0644,8110.6
06-09-2016,130.6771,8170.05
06-08-2016,130.9631,8203.6
06-07-2016,130.2079,8273.05
06-06-2016,129.8726,8266.45
06-03-2016,129.7969,8201.05
06-02-2016,129.313,8220.8
06-01-2016,129.4922,8218.95
05-31-2016,129.6244,8179.95
05-30-2016,130.5154,8160.1
05-27-2016,130.5995,8178.5
05-26-2016,129.0118,8156.65
05-25-2016,127.8401,8069.65
05-24-2016,126.9586,7934.9
05-23-2016,126.9215,7748.85
05-20-2016,127.8689,7731.05
05-19-2016,128.7829,7749.7
05-18-2016,129.6946,7783.4
05-17-2016,128.7116,7870.15
05-16-2016,128.9005,7890.75
05-13-2016,129.2118,7860.75
05-12-2016,130.5718,7814.9
05-11-2016,129.4799,7900.4
05-10-2016,129.0751,7848.85
05-09-2016,128.843,7887.8
05-06-2016,126.8406,7866.05
05-05-2016,127.0273,7733.45
05-04-2016,126.5737,7735.5
05-03-2016,127.5646,7747
05-02-2016,128.5766,7805.9
04-29-2016,128.1102,7849.8
04-28-2016,127.0449,7847.25
04-27-2016,128.8463,7979.9
04-26-2016,128.7489,7962.65
04-25-2016,127.8458,7855.05
04-22-2016,127.96,7899.3
04-21-2016,128.0918,7912.05
04-20-2016,128.5563,7914.75
04-18-2016,128.4574,7914.7
04-13-2016,126.4055,7850.45
04-12-2016,124.7439,7708.95
04-11-2016,124.0478,7671.4
04-08-2016,123.2969,7555.2
04-07-2016,123.4621,7546.45
04-06-2016,124.1389,7614.35
04-05-2016,123.5202,7603.2
04-04-2016,124.634,7758.8
04-01-2016,122.5923,7713.05
03-31-2016,121.6542,7738.4
03-30-2016,121.3324,7735.2
03-29-2016,119.9302,7597
03-28-2016,120.256,7615.1
03-23-2016,121.4295,7716.5
03-22-2016,120.972,7714.9
03-21-2016,120.8586,7704.25
03-18-2016,119.532,7604.35
03-17-2016,118.7931,7512.55
03-16-2016,117.9187,7498.75
03-15-2016,117.6275,7460.6
03-14-2016,118.8301,7538.75
03-11-2016,118.4516,7510.2
03-10-2016,118.8427,7486.15
03-09-2016,119.2165,7531.8
03-08-2016,118.4081,7485.3
